,name,latitude,longitude,free_bikes,empty_slots
0,"RAMBLA DE L'ONZE DE SETEMBRE, 69",41.4299999,2.190246,24,1
1,"PG. TORRAS I BAGES, 129",41.4433647,2.1906302,17,7
2,"C/ SANT OLEGUER, 2",41.3775319,2.1707321,13,5
3,"AV. PARAL.LEL, 194",41.3751161,2.1523091,2,24
4,"C/ BILBAO, 174",41.4090202,2.1954152,23,9
5,"C/ D'ESCORNALBOU, 51",41.4180789,2.1763994,22,2
6,"C/ GANDUXER, 29",41.3939378,2.1380304,0,21
7,"C/ MASSENS, 76",41.4092333,2.1557747,10,18
8,"GRAN VIA DE LES CORTS CATALANES,  1131",41.4183999,2.2058133,15,19
9,"PG. ZONA FRANCA, 54",41.3545425,2.1433038,8,11
10,"C/ FELIP II, 214",41.426925,2.1786224,17,10
11,"C/ CAMPO FLORIDO, 66",41.4216738,2.1799878,6,13
12,"C/ GRANOLLERS, 1",41.4283127,2.1629889,2,22
13,"C/ CAVALLERS, 67",41.3934324,2.115107,3,23
14,"AV. DIAGONAL, 680",41.3875297,2.1237141,4,21
15,"PG. VALL D'HEBRÓN, 168",41.4280668,2.1443777,1,49
16,"C/ SANT ADRIÀ, 88",41.4354601,2.2001569,8,13
17,"C/ RAMON TURRÓ, 91",41.3953011,2.1965965,21,5
18,PL. JESÚS CARRASCO,41.4450463,2.176726,10,10
19,"RAMBLA FABRA I PUIG, 67",41.4299201,2.1849813,9,23
20,"C/ SARDENYA, 465",41.4090922,2.1656378,9,17
21,"C/ NÀPOLS, 125",41.3957813,2.1787074,8,24
22,"C/ AMILCAR, 1",41.4300161,2.1720191,6,4
23,"C/CONSELL DE CENT, 6",41.3755503,2.1439036,23,3
24,"C/ JOSÉ DE  AGULLÓ, 9",41.3952027,2.1334873,1,23
25,C/ PINTOR RIBALTA / AV. XILE,41.3791986,2.1135824,4,26
26,"C/ ANDREU NIN, 22",41.4347233,2.1817718,5,26
27,"AV. RIO DE JANEIRO, 3",41.43068,2.1821802,3,29
28,"C/ TEODOR LLORENTE, 1",41.419178,2.18018,12,19
29,PL. ICTÍNEO,41.3776292,2.1836886,14,14
30,"PL. DEL NORD, 5",41.4068417,2.1558354,5,16
31,"C/ TARRAGONA, 103-115",41.3763948,2.1473272,7,25
32,"C/ ONZE DE SETEMBRE, 37-39",41.4298614,2.1922011,21,5
33,"C/ ROSA SENSAT, 20",41.3910756,2.1965766,13,5
34,"RAMBLA DEL BRASIL, 5",41.3759419,2.1299539,10,17
35,"C/ MALATS, 98-100",41.4366708,2.186105,10,5
36,"C/ LOPE DE VEGA, 79",41.4038902,2.2041137,24,2
37,"C/ SANT HERMENEGILD, 30",41.4031529,2.1445843,5,22
38,"C/ BRUC, 66",41.393489,2.1707419,9,23
39,"LA RAMBLA, 75",41.3811389,2.1729755,10,8
40,"C/ RECTOR UBACH, 24",41.3985735,2.1440826,6,21
41,"RAMBLA DE GUIPÚSCOA, 43/FLUVIÀ",41.4158412,2.1959771,41,0
42,"C/ JOSEP ESTIVILL, 32",41.4175595,2.1877153,17,7
43,"PG. VALLDAURA, 171",41.4389014,2.1715576,1,22
44,"GRAN VIA DE LES CORTS CATALANES, 179 (D)",41.3675574,2.1388216,16,35
45,"TRAV. DE GRÀCIA, 92 / VIA AUGUSTA",41.3982304,2.1531031,2,18
46,"C/ DEL TORRENT DE LES FLORS, 102",41.4078456,2.1586704,9,7
47,"C/ LEPANT,  278",41.4047056,2.1765126,12,9
48,"RONDA DE SANT PAU, 51",41.3773113,2.1646742,16,18
49,"C/ BRUC, 102",41.3954041,2.1681961,8,12
50,"C/ EDUARD TODA, 33 | C/ DOCTOR LETAMENDI",41.4345997,2.1585268,1,25
51,"C/ GRAN DE GRÀCIA, 37",41.3989151,2.1564253,1,26
52,"C/ NUMÀNCIA, 136",41.3878061,2.1344218,3,20
53,"C/ LLULL, 309",41.4065291,2.2091221,10,15
54,"C/ VILAMARÍ,  61",41.3790718,2.1490553,10,9
55,"C/ SANTALÓ, 165",41.4009,2.13892,9,15
56,"C/ ROSSELLÓ, 108-110",41.388296,2.150878,8,9
57,PL. CARLES PI I SUNYER,41.385086,2.174016,5,15
58,"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,15,11
59,"RAMBLA DE PRIM, 19",41.4116634,2.2183313,8,18
60,PL. TERESA DE CLARAMUNT/C/ DELS FERROCARILS,41.3631066,2.1398322,29,1
61,"C/ LLOBREGÓS, 115",41.4246885,2.1570492,8,19
62,"AV. DIAGONAL, 672",41.3880355,2.1256248,1,32
63,"AV. MERIDIANA, 404",41.4304126,2.1834174,14,22
64,"TRAVESSERA DE GRÀCIA, 368",41.4098842,2.1715285,24,3
65,"C/ TARRAGONA, 141",41.3779613,2.1450491,6,14
66,"C/ DEL CANÓ, 1",41.4013296,2.1574439,0,25
67,"AV. MERIDIANA, 47 (D)",41.3982615,2.1866517,30,12
68,"C/ CARDENER, 59",41.4105956,2.1579897,10,16
69,"C/ SANT ADRIÀ, 113",41.4361782,2.2047037,10,13
70,"C/ AMILCAR, 78",41.4260751,2.1722534,8,17
71,C/ NOVA  BOCANA,41.3702483,2.1878126,9,22
72,"C/ PUJADES, 173/RBLA POBLE NOU",41.4018686,2.20077,20,2
73,"C/ DEL DOCTOR TRUETA, 222",41.3992169,2.2041415,8,14
74,"C/ LLEIDA, 40",41.3717304,2.1554047,14,11
75,"C/ MADRAZO, 39",41.400305,2.149144,0,27
76,"C/ MADRAZO, 131",41.3967824,2.1445567,1,25
77,"C/ CARME KARR, 12-14",41.3986238,2.1204941,0,23
78,"C/ GAVÀ, 1",41.3723682,2.1419494,18,12
79,PG. SANT ANTONI /PL. SANTS,41.3756948,2.1358571,7,19
80,"C/ ROSSELLÓ, 261",41.3954094,2.1599427,2,24
81,"C/ TUSET, 19",41.3960982,2.1513154,1,23
82,PL. TETUAN,41.3943454,2.1751709,6,17
83,"C/ MAIGNON, 31-41",41.4095926,2.1524953,6,23
84,"C/ VIRIAT,  53",41.3808222,2.141539,2,17
85,"PG. PUJADES,  1 (JUTJATS)",41.388885,2.18329,7,19
86,"RDA. DE SANT PERE, 26",41.389492,2.17425,2,17
87,"C/ LISBOA, 1",41.429561735076526,2.1589684563445877,14,15
88,"C/ DE NIL FABRA, 16-20",41.4059356,2.1517977,10,14
89,"PG. ZONA FRANCA, 244",41.36352,2.1369015,7,8
90,"RAMBLA DE L'ONZE DE SETEMBRE, 31",41.4298991,2.1932159,32,1
91,"C/ PUJADES, 121",41.3993329,2.1974184,16,11
92,"C/ CAMÈLIES, 78",41.4145614,2.1658677,16,9
93,"AV. JOSEP TARRADELLAS, 58",41.385004,2.1429115,5,16
94,"PL. CATALUNYA, 7",41.386543,2.169427,1,25
95,"C/ ARIZALA, 77",41.3789061,2.1233038,19,16
96,"C/ MÉNDEZ NÚÑEZ, 16",41.3900544,2.1775594,9,17
97,"C/ ESPRONCEDA, 298",41.4158807,2.1908473,13,12
98,"LA RAMBLA, 80",41.3811923,2.1735007,3,15
99,"AV. DIAGONAL, 634",41.3908477,2.136579,1,23
100,"C/ RAMON TURRÓ, 246",41.4017084,2.2053803,25,1
101,"C/ PROVENÇA, 388-390",41.401061,2.169941,3,20
102,"C/ IRLANDA, 34",41.4315,2.18579,4,8
103,"C/ CALABRIA, 158",41.3821658,2.1520645,17,5
104,"GRAN VIA DE LES CORTS CATALANES, 1118",41.4167933,2.2058345,10,10
105,"C/ JANE ADDAMS, 26/ CRTA. DEL PRAT",41.3621232,2.1356187,22,11
106,"C/ CARTAGENA, 308",41.410314,2.1757334,6,11
107,"C/ PERE IV, 488",41.4148983,2.207186,7,15
108,"PASSATGE DE SENILLOSA, 3-5",41.3954723,2.1250451,1,24
109,"C/ NÀPOLS, 82",41.3941557,2.1813305,4,22
110,"C/ ENTENÇA, 70",41.3790954665734,2.1516210083711993,14,10
111,"GRAN VIA DE LES CORTS CATALANES,  981",41.4120452,2.1972673,11,9
112,"C/ PUJADES, 311/ FLUVIÀ",41.4070139,2.2074469,18,14
113,"C/ VILAMARÍ, 2",41.3755016,2.154004,7,17
114,"C/ BRUC, 45",41.3924661,2.1717397,2,25
115,"C/ FERNANDO PESSOA, 72",41.4457195,2.1929816,20,5
116,"C/ CONSELL DE CENT, 482",41.40013,2.1780175,13,14
117,"RBLA. CATALUNYA, 47",41.3902625,2.164035,8,19
118,"C/ SANT PERE MÉS ALT, 4",41.3871079,2.1753364,19,2
119,"C/ VILADOMAT, 122",41.3808772,2.1559939,11,15
120,"C/ SANCHO DE ÁVILA,  104 - C/ BADAJOZ",41.4003793,2.1924144,8,22
121,"AV. DIAGONAL, 650",41.3897943,2.1328634,9,24
122,"C/ VILADOMAT,  2",41.3755747,2.1629349,24,2
123,"C/ CARDENAL REIG, 11",41.37684,2.114029,9,18
124,"C/ GARRIGA I ROCA, 2",41.4191957,2.1718497,9,4
125,"PG. FABRA I PUIG, 385",41.4333259,2.1629258,1,26
126,"C/ ROC BORONAT, 134",41.4034967,2.1936584,0,27
127,"C/ CASTELLA,  28 / DIAGONAL",41.4056269,2.1977119,16,11
128,"C/ SANT PERE D´ABANTO, 2",41.371366,2.143565,29,3
129,"RAMBLA DEL RAVAL, 20",41.3781065,2.1696744,7,19
130,"PL  JOANIC - C / BRUNIQUER, 59",41.4055198,2.1622548,0,18
131,"C/ SANT RAMON NONAT,  26",41.3770199,2.1169828,12,9
132,"PG. BONANOVA, 100",41.400793,2.122889,4,20
133,"C/ VILLARROEL, 39",41.3821314,2.1606534,3,28
134,JARDINS DE CAN FERRERO/PG.DE LA ZONA FRANCA,41.357067,2.141563,7,25
135,"C/ LAFORJA, 74-76",41.3976165,2.1471724,2,22
136,"C/ SELVA DE MAR, 46",41.4091355,2.2088179,14,13
137,"C/ VALLMAJOR, 13",41.3981616,2.1386719,5,21
138,"C/ VALLESPIR, 49",41.3796421,2.1368202,11,8
139,AV. PARAL.LEL 164,41.3751866,2.1568773,12,5
140,"AV. PARAL·LEL, 146 BIS",41.3751852,2.1592394,32,6
141,"C/ COMERÇ, 36",41.3869612,2.1820169,6,18
142,"C/ REINA VICTORIA, 31",41.3969455,2.136346,3,24
143,"C/ ENTENÇA, 137",41.381951,2.147474,12,25
144,"C/ NUMÀNCIA, 2",41.381219,2.141767,0,22
145,"AV. DIAGONAL,  612",41.392567,2.1422174,0,23
146,PL. VIRREI AMAT,41.4296439,2.174444,18,13
147,"C/ DE MALADETA, 1",41.4315843,2.1769107,14,4
148,PL. PAU VILA (D),41.381046,2.186576,23,20
149,"RAMBLA PRIM, 79",41.416043,2.2124993,18,15
150,"C/ VALLESPIR, 130",41.3821371,2.1354149,9,17
151,C/ ARAGÓN 147,41.3847528,2.1546746,12,6
152,PL. VICENÇ MARTORELL,41.3842634,2.1692556,9,9
153,"C/ CASP, 67",41.3937234,2.1764275,16,15
154,"C/ DIPUTACIÓ, 272",41.39161170092347,2.1689031978751205,0,26
155,"C/ RIBES, 77",41.4001015,2.1841711,20,5
156,"C/ ARAGÓ, 614",41.4095069,2.1885055,15,3
157,"C/ MARQUÈS DE SENTMENAT, 46",41.384972,2.1376205,2,30
158,"C/ SARDENYA, 326",41.4039698,2.1729061,6,23
159,"C/ LLULL, 465",41.4132316,2.2177652,25,6
160,"C/ MÚRCIA, 64",41.4166982,2.1909952,11,16
161,"AV. PARAL.LEL, 54",41.3751145,2.1709386,11,5
162,"C/ FERNANDO PESSOA, 41",41.4420913,2.1928992,13,13
163,"C/ BAC DE RODA, 157",41.4113024,2.1987258,17,4
164,"C/ FULTON, 1",41.4297231,2.1617032,2,18
165,"C/ SANT ADRIÀ, 43",41.4352071,2.1948002,9,15
166,"C/ PERE IV,  301 / FLUVIÀ",41.4093405,2.2024461,14,13
167,SEU DEL DISTRICTE (NOU BARRIS),41.4363473,2.1706752,2,21
168,"C/ PROVENÇA, 322",41.3967524,2.1646338,1,19
169,"C/ ROSSELLÓ, 557",41.4110754,2.1809764,32,0
170,"C/ DE ROSSELLÓ I PORCEL, 1/AV.MERIDIANA",41.4364887,2.1841014,2,29
171,"AV. MARQUÉS DE  L'ARGENTERA, 15",41.384844,2.185085,5,22
172,"GRAN VIA DE LES CORTS CATALANES, 1157 (D)",41.4194972,2.20934,23,29
173,"GRAN VIA DE LES CORTS CATALANES, 902",41.4075013,2.1930174,13,2
174,RAMBLA CATALUNYA/DIPUTACIO,41.3896967,2.1652199,0,23
175,"C/ CIUTAT D'ASUNCIÓN, 73 / POTOSÍ",41.4431441,2.1996045,15,12
176,"C/ ARAGÓ, 659 /NAVAS DE TOLOSA",41.4120681,2.1907524,22,4
177,"AV. MARQUÉS DE L'ARGENTERA,  3",41.383597,2.184171,13,7
178,"C/ DEL DR. AIGUADER, 72 / PG. SALVAT PAPASSEIT",41.3838369,2.1914756,4,21
179,"AV. RIO DE JANEIRO, 96",41.439692,2.182335,6,18
180,"C/ DEL COMTE D'URGELL, 75 B",41.3830299,2.1571646,8,17
181,"C/ ROCAFORT, 187",41.38322238887374,2.1479931916296557,7,18
182,"C/ SANTA AMÈLIA, 2",41.3935355,2.1231228,0,27
183,"AV. JOAN XXIII, 17",41.383467,2.122175,4,16
184,"C/ GRAN CAPITÀ, 9",41.3881262,2.1091535,2,26
185,"C/ NOU DE LA RAMBLA, 164",41.3719688,2.1667829,22,5
186,"C/ COMTE BORRELL, 198",41.3854003,2.1521802,7,19
187,"LA RAMBLA, 2 (MUSEO DE CERA)",41.377187,2.176757,23,2
188,"C/ PALLARS, 504",41.4140598,2.2150487,17,7
189,"C/ CÒRSEGA, 216",41.3917666,2.1532163,18,14
190,"C / GIRONA, 176",41.3999967,2.1644531,1,23
191,"C/ GALLEGO, 2",41.3785631,2.1202487,15,8
192,"C/ CAPONATA, 20",41.3953855,2.1210928,2,25
193,"C/ DE LES ESCOLES PIES, 99",41.4029965,2.1283866,1,25
194,"C/ MIREIA, 28",41.4513863,2.1894717,7,8
195,"C/ DOCTOR AIGUADER, 2",41.382335,2.187093,5,10
196,"AV. LITORAL, 172",41.3919877,2.2037136,18,34
197,"270 - CRTA. DE RIBES, 77 (TRINITAT VELLA)",41.4486328,2.1898372,12,15
198,"C/ CANTÀBRIA, 55",41.4224015,2.198071,6,17
199,"C/ CONCEPCIÓ ARENAL, 281",41.4325013,2.1842021,16,9
200,"C/ DURAN I BAS, 2",41.3854094,2.1740155,12,12
201,"AV. DIAGONAL, 652",41.389462,2.1314948,0,27
202,"C/ MEJÍA LEQUERICA, 2",41.3819739,2.1268625,12,15
203,"C/ ROSSELLÓ,  101",41.3879131,2.150342,2,17
204,"C/ JORDI GIRONA, 29",41.3881175,2.1154135,10,18
205,"C/ ARAGÓ, 288",41.39352,2.166797,2,16
206,"C/ GRANADELLA, 10-19 | C/ SAS",41.4383117,2.2039823,9,9
207,"C/ SARDENYA, 402",41.4072349,2.1684799,6,20
208,"C / PROVENÇA, 241",41.3938861,2.1601641,0,18
209,"GRAN VIA DE LES CORTS CATALANES, 368",41.3743329,2.1479385,15,10
210,"RAMBLA CATALUNYA, 133 /  CÒRSEGA",41.3953894,2.1572953,1,23
211,"C/ LONDRES, 101-103",41.3936144,2.1507739,3,15
212,"C/ SANT ANTONI Mª CLARET, 290-296",41.4138664,2.1777274,14,10
213,"C/ DOCTOR ROUX, 86",41.3998981,2.1281922,14,13
214,RECINTE PARC DE LA CIUTADELLA,41.3873901,2.1875446,14,13
215,"AV. DIAGONAL, 668",41.3887069,2.1285766,0,30
216,"C/ CASTELLNOU, 65",41.3970497,2.1279409,21,10
217,"PL. CATALUNYA, 5",41.387235,2.168819,1,22
218,"PG. FABRA I PUIG, 344",41.430623,2.1671068,6,10
219,"C/ BRUC, 130",41.3969839,2.1661852,8,19
220,"C/ CASTILLEJOS, 258",41.4064529,2.1785364,8,13
221,"C/ SANT ISCLE, 60",41.433384,2.1716309,10,15
222,"C/ RAMÓN TURRÓ, 160",41.3972809,2.1997869,17,10
223,"C/ DE BONAVISTA, 14",41.3983444,2.1598243,0,32
224,"C/ CONCEPCIÓ ARENAL, 176",41.4268952,2.1842572,13,11
225,"RAMBLA DEL RAVAL, 13",41.3793558,2.1689592,21,2
226,"C/ PERIODISTES, 9",41.422037,2.174401,14,3
227,"C/ TUCUMÁN, 21",41.4457962,2.2010422,7,16
228,"AV. ICÀRIA, 202",41.3942108,2.2008756,12,15
229,"C/ PAVIA, 3",41.3734706,2.1332694,24,2
230,"C/ LLACUNA, 86",41.4022657,2.1976297,24,6
231,"C/ CAVALLERS, 41",41.3906352,2.111541,7,25
232,"C/ ROSSELLÓ, 453",41.4060589,2.1740472,7,19
233,"C/ GARCILASO, 77",41.4228449,2.1866363,1,16
234,"C/ PORTO, 35 | AV. ESTATUT DE CATALUNYA",41.4306102,2.1564551,14,12
235,"C/ PUJADES, 57B",41.3958685,2.192952,17,10
236,"C/ MARINA, 199",41.4005784,2.1788855,12,24
237,"RAMBLA  DE GUIPÚSCOA, 158/ CA N'OLIVA",41.4227912,2.2060317,25,2
238,"C/ DE CERVELLÓ, 5",41.3765618,2.1748621,17,7
239,"C/ DIPUTACIÓ, 22",41.377846,2.150523,5,16
240,"C/ DE BARTRINA, 14",41.4391174,2.1858025,16,6
241,"PL. DELS JARDINS D'ALFÀBIA, 1",41.4373376,2.1740962,6,11
242,"C/ NOU BARRIS, 23",41.4480464,2.1775154,9,9
243,"PG. DE GRÀCIA, 89",41.3949729,2.1612814,0,31
244,"C/ FLORIDABLANCA, 145",41.3819459,2.1629146,7,14
245,"C/ VILLARROEL, 208",41.392052,2.1480223,0,29
246,"AV. DIAGONAL, 602",41.392878,2.143411,0,21
247,"C/ TARRAGONA,  159-173",41.3787064,2.1443579,6,16
248,"C/ BRUC, 20",41.3908381,2.1743743,15,9
249,"C/ MALATS, 28-30",41.4361251,2.1894423,14,17
250,"LA RAMBLA, 101",41.3826647,2.1717083,2,24
251,"GRAN VIA DE LES CORTS CATALANES,  1062",41.4139298,2.2017955,7,21
252,"C/ ALTS FORNS, 77",41.3595484,2.1417765,20,12
253,"C/ JOAN GÜELL, 98",41.3812001,2.1323612,13,10
254,"C/ DE L'ESCULTOR ORDÓÑEZ, 55",41.4340849,2.1748267,21,5
255,"AV. DIAGONAL, 630",41.3915195,2.1390667,4,28
